roll,pitch,yaw,x,y,z
-1.5827,0.0220489,-1.5726,0.746654,0.0229908,-0.33626
-1.56954,0.0252868,-1.55718,0.743344,-0.0377765,-0.378816
-1.58673,0.0257629,-1.56322,0.771199,-0.0129855,-0.324743
-1.59182,0.0154906,-1.55719,0.782856,-0.0276992,-0.318868
-1.56048,0.0202848,-1.56852,0.773379,0.00813551,-0.410093
-1.5749,0.0237607,-1.55201,0.75131,-0.0243056,-0.360671
-1.58454,0.0253758,-1.55499,0.764006,-0.0408894,-0.331256
-1.57122,0.021236,-1.54887,0.75707,-0.0312592,-0.376976
-1.56567,0.0196005,-1.55972,0.767531,-0.0193575,-0.396467
-1.57153,0.0280166,-1.55395,0.768893,-0.0367533,-0.379279
