roll,pitch,yaw,x,y,z
-1.68727,-0.0001396,-1.48448,0.0677906,-0.0184467,-0.215053
-1.69254,-0.0239484,-1.49579,0.0581872,0.0126761,-0.194064
-1.67381,-0.00522959,-1.48957,0.0649413,-0.00615713,-0.24709
-1.69512,-0.0183489,-1.49305,0.0604852,0.00508372,-0.195914
-1.69998,-0.0256592,-1.49552,0.0587427,0.0122711,-0.18306
-1.69392,-0.0180774,-1.49238,0.0596738,0.00264443,-0.19429
-1.675,-0.00784125,-1.48647,0.0657337,-0.017817,-0.250167
-1.68285,0.00107876,-1.48811,0.0677547,-0.00845023,-0.22628
-1.71549,-0.0179578,-1.48899,0.0587515,-0.00610236,-0.146021
-1.70642,-0.0190876,-1.48969,0.0584046,-0.00264449,-0.165753
-1.69959,-0.0325806,-1.4902,0.0592219,-0.00375272,-0.186667
-1.70521,-0.0170943,-1.48301,0.0701201,-0.0234812,-0.173811
